Longitud (m);Ancho de Puente (m);Sep Vigas Longitudinales (m);N° Paneles;Altura (m);Disposicion de Arriostre;Forma de Arriostre;Dim. Arriostre;Forma de Cordones;Dimension de Cordon Sup/Inf;Forma de Diagonales;Dim. Diag. S/I;Forma de Montante;Dim. Montante;Peso total (ton)
60;11.6;2.1;6;7;Cruz;T;150x150x12.5;Cajon HSS;435x445x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;142.32
60;11.6;2.1;6;7;Cruz;L;150x150x12.5;Cajon HSS;445x415x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;168.41
61;11.6;2.1;6;6.1;Cruz;T;150x150x12.5;Cajon HSS;418x428x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;139.61
61;11.6;2.1;6;6.1;Cruz;L;150x150x12.5;Cajon HSS;428x438x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;143.16
61;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;438x448x19.0;Cajon HSS;420x430x16.0;Cajon HSS;210x210x12.5;146.81
61;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;448x418x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;173.77
61;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;418x428x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;139.8
61;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;428x438x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;143.35
61;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;438x448x19.0;Cajon HSS;420x430x16.0;Cajon HSS;210x210x12.5;147
61;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;448x418x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;173.99
61;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;418x428x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;139.98
61;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;428x438x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;143.54
61;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;438x448x19.0;Cajon HSS;420x430x16.0;Cajon HSS;210x210x12.5;147.19
61;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;448x418x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;174.22
61;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;418x428x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;140.16
61;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;428x438x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;143.73
61;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;438x448x19.0;Cajon HSS;420x430x16.0;Cajon HSS;210x210x12.5;147.39
61;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;448x418x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;174.45
61;11.6;2.1;6;6.9;Cruz;T;150x150x12.5;Cajon HSS;418x428x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;140.35
61;11.6;2.1;6;6.9;Cruz;L;150x150x12.5;Cajon HSS;428x438x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;143.91
61;11.6;2.1;6;7;Cruz;T;150x150x12.5;Cajon HSS;438x448x19.0;Cajon HSS;420x430x16.0;Cajon HSS;210x210x12.5;147.58
61;11.6;2.1;6;7;Cruz;L;150x150x12.5;Cajon HSS;448x418x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;174.68
